time	V(C,E)	V(p1)	Ic(Q1)
Step Information: Ib=11µ  (Step: 1/6)
0.000000000000000e+00	3.933950e-02	5.000000e+03	1.949227e-03
5.963107199629371e-02	4.535705e-02	4.701845e+03	2.068756e-03
1.006310719962949e-01	5.030768e-02	4.496845e+03	2.159739e-03
1.471310719962931e-01	5.708741e-02	4.264345e+03	2.272981e-03
1.867310719962888e-01	6.431031e-02	4.066345e+03	2.379013e-03
2.030310719962870e-01	6.784379e-02	3.984845e+03	2.425500e-03
2.333310719962836e-01	7.568966e-02	3.833345e+03	2.516696e-03
2.581310719962809e-01	8.395749e-02	3.709345e+03	2.596239e-03
2.781310719962787e-01	9.263629e-02	3.609345e+03	2.663709e-03
2.940310719962770e-01	1.017060e-01	3.529845e+03	2.719397e-03
3.054310719962757e-01	1.102087e-01	3.472845e+03	2.760288e-03
3.155310719962746e-01	1.201279e-01	3.422345e+03	2.796942e-03
3.234310719962737e-01	1.305803e-01	3.382845e+03	2.825579e-03
3.295310719962731e-01	1.414999e-01	3.352345e+03	2.847316e-03
3.343310719962725e-01	1.531428e-01	3.328345e+03	2.863805e-03
3.381310719962721e-01	1.656175e-01	3.309345e+03	2.876069e-03
3.412310719962718e-01	1.792985e-01	3.293845e+03	2.885147e-03
3.438310719962715e-01	1.944934e-01	3.280845e+03	2.891727e-03
3.462310719962712e-01	2.126547e-01	3.268845e+03	2.896622e-03
3.487310719962710e-01	2.364224e-01	3.256345e+03	2.900317e-03
3.520310719962706e-01	2.741191e-01	3.239845e+03	2.903350e-03
3.603310719962697e-01	3.806703e-01	3.198345e+03	2.907563e-03
4.078310719962644e-01	1.008195e+00	2.960845e+03	2.928085e-03
4.963310719962547e-01	2.201382e+00	2.518345e+03	2.967080e-03
5.102310719962532e-01	2.391680e+00	2.448845e+03	2.973299e-03
6.126310719962419e-01	3.818555e+00	1.936845e+03	3.019934e-03
7.150310719962306e-01	5.290902e+00	1.424845e+03	3.068055e-03
8.174310719962193e-01	6.810932e+00	9.128447e+02	3.117735e-03
9.198310719962081e-01	8.380997e+00	4.008446e+02	3.169051e-03
9.998310719961992e-01	9.644042e+00	8.446400e-01	3.210332e-03
9.999310719961992e-01	9.645642e+00	3.446400e-01	3.210384e-03
1.000000000000000e+00	9.646744e+00	1.000000e-08	3.210420e-03
Step Information: Ib=15µ  (Step: 2/6)
0.000000000000000e+00	1.652079e-02	5.000000e+03	1.953685e-03
6.903107199629398e-02	2.093592e-02	4.654845e+03	2.094279e-03
1.005310719962949e-01	2.319301e-02	4.497345e+03	2.165381e-03
1.623310719962915e-01	2.818707e-02	4.188345e+03	2.319884e-03
2.029310719962870e-01	3.198280e-02	3.985345e+03	2.433951e-03
