time	V(d)	V(g)	Id(J1)
Step Information: Vgs=-4  (Step: 1/5)
0.000000000000000e+00	0.000000e+00	-4.000000e+00	4.611104e-12
1.006310719962949e-01	2.012621e+00	-4.000000e+00	2.250318e-11
2.030310719962870e-01	4.060621e+00	-4.000000e+00	2.321395e-11
3.054310719962757e-01	6.108622e+00	-4.000000e+00	2.429197e-11
4.078310719962644e-01	8.156621e+00	-4.000000e+00	2.559341e-11
5.102310719962532e-01	1.020462e+01	-4.000000e+00	2.704312e-11
6.126310719962419e-01	1.225262e+01	-4.000000e+00	2.859737e-11
7.150310719962306e-01	1.430062e+01	-4.000000e+00	3.022872e-11
8.174310719962193e-01	1.634862e+01	-4.000000e+00	3.191891e-11
9.198310719962081e-01	1.839662e+01	-4.000000e+00	3.365525e-11
9.999310719961992e-01	1.999862e+01	-4.000000e+00	3.503964e-11
1.000000000000000e+00	2.000000e+01	-4.000000e+00	3.504086e-11
Step Information: Vgs=-3  (Step: 2/5)
0.000000000000000e+00	0.000000e+00	-3.000000e+00	3.566274e-12
1.005310719962949e-01	2.010622e+00	-3.000000e+00	2.237342e-11
2.029310719962870e-01	4.058621e+00	-3.000000e+00	2.280674e-11
3.053310719962757e-01	6.106621e+00	-3.000000e+00	2.373002e-11
4.077310719962645e-01	8.154621e+00	-3.000000e+00	2.493449e-11
5.101310719962532e-01	1.020262e+01	-3.000000e+00	2.631856e-11
6.125310719962419e-01	1.225062e+01	-3.000000e+00	2.782588e-11
7.149310719962306e-01	1.429862e+01	-3.000000e+00	2.942225e-11
8.173310719962193e-01	1.634662e+01	-3.000000e+00	3.108552e-11
9.197310719962081e-01	1.839462e+01	-3.000000e+00	3.280060e-11
9.999310719961992e-01	1.999862e+01	-3.000000e+00	3.417302e-11
1.000000000000000e+00	2.000000e+01	-3.000000e+00	3.417423e-11
Step Information: Vgs=-2  (Step: 3/5)
0.000000000000000e+00	0.000000e+00	-2.000000e+00	2.513582e-12
3.310719962930307e-04	6.621440e-03	-2.000000e+00	1.712023e-05
1.131071996293031e-03	2.262144e-02	-2.000000e+00	5.803054e-05
2.431071996293031e-03	4.862144e-02	-2.000000e+00	1.231063e-04
4.131071996293029e-03	8.262144e-02	-2.000000e+00	2.055826e-04
6.331071996293035e-03	1.266214e-01	-2.000000e+00	3.079021e-04
8.931071996293031e-03	1.786214e-01	-2.000000e+00	4.223997e-04
1.193107199629301e-02	2.386214e-01	-2.000000e+00	5.458562e-04
1.533107199629299e-02	3.066214e-01	-2.000000e+00	6.745523e-04
1.903107199629297e-02	3.806214e-01	-2.000000e+00	8.010436e-04
2.303107199629295e-02	4.606214e-01	-2.000000e+00	9.218752e-04
2.733107199629292e-02	5.466214e-01	-2.000000e+00	1.033305e-03
3.183107199629291e-02	6.366214e-01	-2.000000e+00	1.129406e-03
3.653107199629305e-02	7.306215e-01	-2.000000e+00	1.207351e-03
4.133107199629318e-02	8.266214e-01	-2.000000e+00	1.263271e-03
4.623107199629332e-02	9.246215e-01	-2.000000e+00	1.295637e-03
5.173107199629348e-02	1.034621e+00	-2.000000e+00	1.303622e-03
1.005310719962949e-01	2.010622e+00	-2.000000e+00	1.306471e-03
2.029310719962870e-01	4.058621e+00	-2.000000e+00	1.312449e-03
3.053310719962757e-01	6.106621e+00	-2.000000e+00	1.318426e-03
4.077310719962645e-01	8.154621e+00	-2.000000e+00	1.324403e-03
5.101310719962532e-01	1.020262e+01	-2.000000e+00	1.330380e-03
6.125310719962419e-01	1.225062e+01	-2.000000e+00	1.336357e-03
7.149310719962306e-01	1.429862e+01	-2.000000e+00	1.342333e-03
8.173310719962193e-01	1.634662e+01	-2.000000e+00	1.348310e-03
9.197310719962081e-01	1.839462e+01	-2.000000e+00	1.354286e-03
9.999310719961992e-01	1.999862e+01	-2.000000e+00	1.358967e-03
1.000000000000000e+00	2.000000e+01	-2.000000e+00	1.358971e-03
Step Information: Vgs=-1  (Step: 4/5)
0.000000000000000e+00	0.000000e+00	-1.000000e+00	1.448072e-12
5.310719962930306e-04	1.062144e-02	-1.000000e+00	5.468413e-05
2.031071996293031e-03	4.062144e-02	-1.000000e+00	2.076022e-04
4.531071996293030e-03	9.062144e-02	-1.000000e+00	4.573989e-04
7.931071996293037e-03	1.586214e-01	-1.000000e+00	7.869513e-04
1.233107199629301e-02	2.466214e-01	-1.000000e+00	1.196012e-03
1.753107199629298e-02	3.506214e-01	-1.000000e+00	1.654080e-03
2.363107199629294e-02	4.726214e-01	-1.000000e+00	2.156348e-03
3.043107199629290e-02	6.086214e-01	-1.000000e+00	2.671532e-03
3.793107199629309e-02	7.586215e-01	-1.000000e+00	3.184964e-03
4.603107199629332e-02	9.206215e-01	-1.000000e+00	3.674785e-03
5.473107199629357e-02	1.094621e+00	-1.000000e+00	4.125893e-03
6.383107199629383e-02	1.276621e+00	-1.000000e+00	4.514419e-03
7.333107199629410e-02	1.466621e+00	-1.000000e+00	4.828893e-03
8.303107199629438e-02	1.660621e+00	-1.000000e+00	5.053671e-03
9.293107199629466e-02	1.858621e+00	-1.000000e+00	5.182453e-03
1.005310719962949e-01	2.010622e+00	-1.000000e+00	5.212201e-03
2.029310719962870e-01	4.058621e+00	-1.000000e+00	5.235985e-03
3.053310719962757e-01	6.106621e+00	-1.000000e+00	5.259769e-03
4.077310719962645e-01	8.154621e+00	-1.000000e+00	5.283552e-03
5.101310719962532e-01	1.020262e+01	-1.000000e+00	5.307333e-03
6.125310719962419e-01	1.225062e+01	-1.000000e+00	5.331113e-03
7.149310719962306e-01	1.429862e+01	-1.000000e+00	5.354892e-03
8.173310719962193e-01	1.634662e+01	-1.000000e+00	5.378671e-03
9.197310719962081e-01	1.839462e+01	-1.000000e+00	5.402447e-03
9.999310719961992e-01	1.999862e+01	-1.000000e+00	5.421069e-03
1.000000000000000e+00	2.000000e+01	-1.000000e+00	5.421085e-03
Step Information: Vgs=0  (Step: 5/5)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.310719962930308e-04	1.662144e-02	0.000000e+00	1.276954e-04
3.131071996293029e-03	6.262144e-02	0.000000e+00	4.775063e-04
6.931071996293036e-03	1.386214e-01	0.000000e+00	1.043877e-03
1.213107199629301e-02	2.426214e-01	0.000000e+00	1.795513e-03
