time	V(d)	V(g)	Id(J1)
Step Information: Vgs=-2 Rd=1.5K  (Step: 1/9)
0.000000000000000e+00	-7.707693e-10	-2.000000e+00	5.138458e-13
3.931071996293029e-03	1.617553e-02	-2.000000e+00	4.163061e-05
1.073107199629302e-02	4.466057e-02	-2.000000e+00	1.133073e-04
2.003107199629297e-02	8.472745e-02	-2.000000e+00	2.105960e-04
3.143107199629290e-02	1.357750e-01	-2.000000e+00	3.285643e-04
4.433107199629327e-02	1.964715e-01	-2.000000e+00	4.601000e-04
5.823107199629367e-02	2.659889e-01	-2.000000e+00	5.990883e-04
7.243107199629407e-02	3.424012e-01	-2.000000e+00	7.374802e-04
8.643107199629448e-02	4.245211e-01	-2.000000e+00	8.694003e-04
9.973107199629486e-02	5.107970e-01	-2.000000e+00	9.892163e-04
1.006310719962949e-01	5.169961e-01	-2.000000e+00	9.970836e-04
1.126310719962952e-01	6.052229e-01	-2.000000e+00	1.098266e-03
1.232310719962955e-01	6.944776e-01	-2.000000e+00	1.180096e-03
1.321310719962948e-01	7.821246e-01	-2.000000e+00	1.240331e-03
1.392310719962940e-01	8.658040e-01	-2.000000e+00	1.279212e-03
1.447310719962934e-01	9.456372e-01	-2.000000e+00	1.299323e-03
1.491310719962929e-01	1.027220e+00	-2.000000e+00	1.303601e-03
2.030310719962870e-01	2.100521e+00	-2.000000e+00	1.306733e-03
3.054310719962757e-01	4.139594e+00	-2.000000e+00	1.312685e-03
4.078310719962644e-01	6.178668e+00	-2.000000e+00	1.318636e-03
5.102310719962532e-01	8.217741e+00	-2.000000e+00	1.324587e-03
6.126310719962419e-01	1.025681e+01	-2.000000e+00	1.330538e-03
7.150310719962306e-01	1.229589e+01	-2.000000e+00	1.336489e-03
8.174310719962193e-01	1.433496e+01	-2.000000e+00	1.342439e-03
9.198310719962081e-01	1.637404e+01	-2.000000e+00	1.348390e-03
9.999310719961992e-01	1.796906e+01	-2.000000e+00	1.353044e-03
