time	V(g)	Id(J1)
0.000000000000000e+00	0.000000e+00	1.203432e-02
1.006310719926526e-02	-1.006311e-01	1.124356e-02
2.030310719926485e-02	-2.030311e-01	1.046628e-02
3.054310719926443e-02	-3.054311e-01	9.716627e-03
4.078310719926732e-02	-4.078311e-01	8.994634e-03
5.102310719927046e-02	-5.102311e-01	8.300323e-03
6.126310719927359e-02	-6.126311e-01	7.633715e-03
7.150310719927049e-02	-7.150311e-01	6.994835e-03
8.174310719926652e-02	-8.174311e-01	6.383704e-03
9.198310719926255e-02	-9.198311e-01	5.800347e-03
1.022231071992586e-01	-1.022231e+00	5.244787e-03
1.124631071992546e-01	-1.124631e+00	4.717046e-03
1.227031071992506e-01	-1.227031e+00	4.217149e-03
1.329431071992577e-01	-1.329431e+00	3.745117e-03
1.431831071992679e-01	-1.431831e+00	3.300975e-03
1.534231071992782e-01	-1.534231e+00	2.884746e-03
1.636631071992884e-01	-1.636631e+00	2.496452e-03
1.739031071992987e-01	-1.739031e+00	2.136118e-03
1.841431071993089e-01	-1.841431e+00	1.803766e-03
1.943831071993191e-01	-1.943831e+00	1.499419e-03
1.958445357707492e-01	-1.958445e+00	1.458268e-03
1.973059643421792e-01	-1.973060e+00	1.417689e-03
1.987673929136092e-01	-1.987674e+00	1.377680e-03
2.002288214850393e-01	-2.002288e+00	1.338243e-03
2.016902500564693e-01	-2.016903e+00	1.299377e-03
2.031516786278993e-01	-2.031517e+00	1.261082e-03
2.046131071993294e-01	-2.046131e+00	1.223358e-03
2.046231071993294e-01	-2.046231e+00	1.223102e-03
2.060845357707594e-01	-2.060845e+00	1.185953e-03
2.075459643421894e-01	-2.075460e+00	1.149376e-03
2.090073929136195e-01	-2.090074e+00	1.113371e-03
2.104688214850495e-01	-2.104688e+00	1.077937e-03
2.119302500564796e-01	-2.119303e+00	1.043075e-03
2.133916786279096e-01	-2.133917e+00	1.008784e-03
2.148531071993396e-01	-2.148531e+00	9.750652e-04
2.148631071993396e-01	-2.148631e+00	9.748364e-04
2.163245357707697e-01	-2.163245e+00	9.416932e-04
2.177859643421997e-01	-2.177860e+00	9.091221e-04
2.192473929136297e-01	-2.192474e+00	8.771231e-04
2.207088214850598e-01	-2.207088e+00	8.456962e-04
2.221702500564898e-01	-2.221703e+00	8.148414e-04
2.236316786279198e-01	-2.236317e+00	7.845587e-04
2.250931071993499e-01	-2.250931e+00	7.548481e-04
2.251031071993499e-01	-2.251031e+00	7.546467e-04
2.265645357707799e-01	-2.265645e+00	7.255123e-04
2.280259643422099e-01	-2.280260e+00	6.969505e-04
2.294873929136400e-01	-2.294874e+00	6.689612e-04
2.309488214850700e-01	-2.309488e+00	6.415445e-04
2.324102500565000e-01	-2.324102e+00	6.147004e-04
2.338716786279301e-01	-2.338717e+00	5.884288e-04
2.353331071993601e-01	-2.353331e+00	5.627298e-04
2.353431071993601e-01	-2.353431e+00	5.625559e-04
2.368045357707901e-01	-2.368045e+00	5.374336e-04
2.382659643422202e-01	-2.382660e+00	5.128844e-04
2.397273929136502e-01	-2.397274e+00	4.889081e-04
2.411888214850803e-01	-2.411888e+00	4.655050e-04
2.426502500565103e-01	-2.426503e+00	4.426748e-04
2.441116786279403e-01	-2.441117e+00	4.204177e-04
2.455731071993703e-01	-2.455731e+00	3.987337e-04
2.455831071993703e-01	-2.455831e+00	3.985873e-04
2.470445357708004e-01	-2.470445e+00	3.774804e-04
2.485059643422304e-01	-2.485060e+00	3.569471e-04
2.499673929136604e-01	-2.499674e+00	3.369872e-04
2.514288214850905e-01	-2.514288e+00	3.176009e-04
2.528902500565205e-01	-2.528903e+00	2.987881e-04
2.543516786279506e-01	-2.543517e+00	2.805489e-04
2.558131071993806e-01	-2.558131e+00	2.628831e-04
2.558231071993806e-01	-2.558231e+00	2.627642e-04
2.572845357708106e-01	-2.572845e+00	2.456761e-04
2.587459643422406e-01	-2.587460e+00	2.291620e-04
2.602073929136707e-01	-2.602074e+00	2.132219e-04
2.616688214851007e-01	-2.616688e+00	1.978558e-04
2.631302500565307e-01	-2.631302e+00	1.830637e-04
2.645916786279607e-01	-2.645917e+00	1.688456e-04
2.660531071993908e-01	-2.660531e+00	1.552014e-04
2.660631071993908e-01	-2.660631e+00	1.551101e-04
2.675245357708209e-01	-2.675245e+00	1.420441e-04
2.689859643422509e-01	-2.689860e+00	1.295526e-04
2.704473929136809e-01	-2.704474e+00	1.176355e-04
2.719088214851109e-01	-2.719088e+00	1.062930e-04
2.733702500565410e-01	-2.733702e+00	9.552486e-05
2.748316786279710e-01	-2.748317e+00	8.533122e-05
2.762931071994010e-01	-2.762931e+00	7.571204e-05
2.763031071994010e-01	-2.763031e+00	7.564820e-05
2.777645357708311e-01	-2.777645e+00	6.660767e-05
2.792259643422611e-01	-2.792260e+00	5.814208e-05
2.806873929136912e-01	-2.806874e+00	5.025144e-05
2.821488214851212e-01	-2.821488e+00	4.293573e-05
2.836102500565512e-01	-2.836103e+00	3.619498e-05
2.850716786279812e-01	-2.850717e+00	3.002916e-05
2.865331071994113e-01	-2.865331e+00	2.443829e-05
2.865431071994113e-01	-2.865431e+00	2.440202e-05
2.880045357708413e-01	-2.880045e+00	1.939026e-05
2.894659643422713e-01	-2.894660e+00	1.495393e-05
2.909273929137014e-01	-2.909274e+00	1.109302e-05
2.923888214851314e-01	-2.923888e+00	7.807524e-06
2.938502500565615e-01	-2.938503e+00	5.097452e-06
2.953116786279915e-01	-2.953117e+00	2.962801e-06
2.967731071994215e-01	-2.967731e+00	1.403570e-06
2.967831071994215e-01	-2.967831e+00	1.394885e-06
2.972545357708506e-01	-2.972545e+00	1.016176e-06
2.977259643422796e-01	-2.977260e+00	6.972810e-07
2.981973929137087e-01	-2.981974e+00	4.382008e-07
2.986688214851377e-01	-2.986688e+00	2.389351e-07
2.991402500565667e-01	-2.991403e+00	9.948376e-08
2.996116786279958e-01	-2.996117e+00	1.984690e-08
3.000831071994248e-01	-3.000831e+00	2.447845e-11
3.070231071994318e-01	-3.070231e+00	2.454182e-11
3.172631071994420e-01	-3.172631e+00	2.463539e-11
3.275031071994522e-01	-3.275031e+00	2.472902e-11
3.377431071994625e-01	-3.377431e+00	2.482272e-11
3.479831071994727e-01	-3.479831e+00	2.491650e-11
3.582231071994830e-01	-3.582231e+00	2.501034e-11
3.684631071994932e-01	-3.684631e+00	2.510425e-11
3.787031071995035e-01	-3.787031e+00	2.519823e-11
3.889431071995137e-01	-3.889431e+00	2.529227e-11
3.991831071995239e-01	-3.991831e+00	2.538637e-11
4.094231071995342e-01	-4.094231e+00	2.548054e-11
4.196631071995444e-01	-4.196631e+00	2.557478e-11
4.299031071995547e-01	-4.299031e+00	2.566907e-11
4.401431071995649e-01	-4.401431e+00	2.576343e-11
4.503831071995751e-01	-4.503831e+00	2.585785e-11
4.606231071995854e-01	-4.606231e+00	2.595233e-11
4.708631071995956e-01	-4.708631e+00	2.604687e-11
4.811031071996059e-01	-4.811031e+00	2.614147e-11
4.913431071996161e-01	-4.913431e+00	2.623613e-11
5.015831071996175e-01	-5.015831e+00	2.633084e-11
5.118231071995709e-01	-5.118231e+00	2.642562e-11
5.220631071995243e-01	-5.220631e+00	2.652044e-11
5.323031071994777e-01	-5.323031e+00	2.661533e-11
5.425431071994311e-01	-5.425431e+00	2.671026e-11
5.527831071993845e-01	-5.527831e+00	2.680526e-11
5.630231071993379e-01	-5.630231e+00	2.690030e-11
5.732631071992913e-01	-5.732631e+00	2.699540e-11
5.835031071992447e-01	-5.835031e+00	2.709055e-11
5.937431071991981e-01	-5.937431e+00	2.718576e-11
6.039831071991515e-01	-6.039831e+00	2.728101e-11
6.142231071991049e-01	-6.142231e+00	2.737632e-11
6.244631071990583e-01	-6.244631e+00	2.747167e-11
6.347031071990117e-01	-6.347031e+00	2.756708e-11
6.449431071989651e-01	-6.449431e+00	2.766253e-11
6.551831071989185e-01	-6.551831e+00	2.775803e-11
6.654231071988719e-01	-6.654231e+00	2.785358e-11
6.756631071988253e-01	-6.756631e+00	2.794918e-11
6.859031071987787e-01	-6.859031e+00	2.804483e-11
6.961431071987321e-01	-6.961431e+00	2.814052e-11
7.063831071986855e-01	-7.063831e+00	2.823625e-11
7.166231071986389e-01	-7.166231e+00	2.833203e-11
7.268631071985923e-01	-7.268631e+00	2.842786e-11
7.371031071985457e-01	-7.371031e+00	2.852374e-11
7.473431071984991e-01	-7.473431e+00	2.861965e-11
7.575831071984525e-01	-7.575831e+00	2.871561e-11
7.678231071984059e-01	-7.678231e+00	2.881161e-11
7.780631071983592e-01	-7.780631e+00	2.890765e-11
7.883031071983126e-01	-7.883031e+00	2.900374e-11
7.985431071982660e-01	-7.985431e+00	2.909987e-11
8.087831071982194e-01	-8.087831e+00	2.919604e-11
8.190231071981728e-01	-8.190231e+00	2.929225e-11
8.292631071981262e-01	-8.292631e+00	2.938850e-11
8.395031071980796e-01	-8.395031e+00	2.948479e-11
8.497431071980330e-01	-8.497431e+00	2.958112e-11
8.599831071979864e-01	-8.599831e+00	2.967749e-11
8.702231071979398e-01	-8.702231e+00	2.977390e-11
8.804631071978932e-01	-8.804631e+00	2.987034e-11
8.907031071978466e-01	-8.907031e+00	2.996683e-11
9.009431071978000e-01	-9.009431e+00	3.006335e-11
9.111831071977534e-01	-9.111831e+00	3.015991e-11
9.214231071977068e-01	-9.214231e+00	3.025650e-11
9.316631071976602e-01	-9.316631e+00	3.035314e-11
9.419031071976136e-01	-9.419031e+00	3.044980e-11
9.521431071975670e-01	-9.521431e+00	3.054651e-11
9.623831071975204e-01	-9.623831e+00	3.064324e-11
9.726231071974738e-01	-9.726231e+00	3.074002e-11
9.828631071974272e-01	-9.828631e+00	3.083683e-11
9.931031071973806e-01	-9.931031e+00	3.093368e-11
9.999931071973492e-01	-9.999931e+00	3.099886e-11
1.000000000000000e+00	-1.000000e+01	3.099889e-11
