time	V(b1)	V(b2)	V(e)	V(rpot)	I(R3)	I(R4)	Ix(U1:B2)	Ix(U1:E)
0.000000000000000e+00	7.040492e-02	1.967998e+01	6.338684e+00	1.000000e-20	3.200224e-03	3.200224e-03	3.200224e-03	-2.658313e-11
4.496236247875096e-06	7.040480e-02	1.967998e+01	6.608047e+00	1.798495e+01	3.200218e-03	3.200218e-03	3.200218e-03	-2.631377e-11
1.348870874363917e-05	7.040472e-02	1.967998e+01	7.128307e+00	5.395483e+01	3.200215e-03	3.200215e-03	3.200215e-03	-2.579348e-11
3.147365373515343e-05	7.040472e-02	1.967998e+01	8.086174e+00	1.258946e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.483563e-11
6.744354371819583e-05	7.040472e-02	1.967998e+01	9.828327e+00	2.697742e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.309351e-11
7.643601621395990e-05	7.040473e-02	1.967998e+01	1.021933e+01	3.057441e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.270243e-11
9.891719745334926e-05	7.040473e-02	1.967998e+01	1.110510e+01	3.956688e+02	3.200215e-03	3.200215e-03	3.200215e-03	-2.175494e-11
1.101577880730509e-04	7.040583e-02	1.967997e+01	1.151158e+01	4.406312e+02	3.200265e-03	3.200265e-03	3.200265e-03	-1.070606e-11
1.146540243209260e-04	7.041120e-02	1.967995e+01	1.166635e+01	4.586161e+02	3.200502e-03	3.200509e-03	3.200502e-03	6.899377e-09
1.236464968166900e-04	7.044187e-02	1.967981e+01	1.197027e+01	4.945860e+02	3.201858e-03	3.201903e-03	3.201858e-03	4.555307e-08
1.239275115821892e-04	7.044759e-02	1.967979e+01	1.197960e+01	4.957101e+02	3.202110e-03	3.202163e-03	3.202110e-03	5.290585e-08
1.244895411131736e-04	7.048356e-02	1.967963e+01	1.199802e+01	4.979582e+02	3.203700e-03	3.203798e-03	3.203700e-03	9.860815e-08
1.256136001751423e-04	7.063364e-02	1.967897e+01	1.203474e+01	5.024544e+02	3.210329e-03	3.210620e-03	3.210329e-03	2.909814e-07
1.258946149406415e-04	7.072236e-02	1.967858e+01	1.204389e+01	5.035785e+02	3.214241e-03	3.214653e-03	3.214241e-03	4.117038e-07
1.259648686320197e-04	7.076203e-02	1.967840e+01	1.204618e+01	5.038595e+02	3.215985e-03	3.216456e-03	3.215985e-03	4.704263e-07
1.259824320548608e-04	7.077524e-02	1.967834e+01	1.204675e+01	5.039297e+02	3.216564e-03	3.217056e-03	3.216564e-03	4.917100e-07
1.260175589005430e-04	7.081299e-02	1.967818e+01	1.204789e+01	5.040702e+02	3.218214e-03	3.218772e-03	3.218214e-03	5.580668e-07
