time	V(a1)	V(g)	V(l) Step Information: A=10µ  (Step: 1/3)
0.000000000000000e+00	9.560285e-23	-2.119503e-23	-1.912059e-24
6.399999641359955e-09	1.040662e-04	4.552097e-06	3.392009e-06
1.279999928271991e-08	2.242477e-04	1.044673e-05	6.304969e-06
2.559999856543982e-08	4.976661e-04	2.503204e-05	1.097678e-05
4.577895910516066e-08	9.852381e-04	5.214259e-05	1.604939e-05
6.741278404924486e-08	1.562142e-03	8.270988e-05	1.942636e-05
9.281851295175434e-08	2.287494e-03	1.166282e-04	2.183480e-05
1.252582351460885e-07	3.253006e-03	1.540529e-04	2.361020e-05
1.737895322874516e-07	4.733696e-03	1.968803e-04	2.503245e-05
2.450710608538922e-07	6.936820e-03	2.369139e-04	2.611631e-05
4.147348998375172e-07	1.221951e-02	2.737730e-04	2.750648e-05
1.465043464725256e-06	4.502730e-02	2.897839e-04	3.316032e-05
2.249407225164756e-06	6.953818e-02	2.942897e-04	3.727916e-05
3.818134746043758e-06	1.185773e-01	3.031835e-04	4.550869e-05
6.955589787801761e-06	2.167246e-01	3.205071e-04	6.193359e-05
1.323049987131777e-05	4.132906e-01	3.542754e-04	9.473961e-05
2.578032003834978e-05	8.073773e-01	4.215235e-04	1.604571e-04
4.578032003834978e-05	1.437518e+00	5.289785e-04	2.655674e-04
6.578032003834978e-05	2.070213e+00	6.368121e-04	3.711400e-04
8.578032003834978e-05	2.705675e+00	7.450420e-04	4.771673e-04
1.057803200383498e-04	3.343847e+00	8.536571e-04	5.836397e-04
1.257803200383498e-04	3.984668e+00	9.626638e-04	6.905488e-04
1.457803200383498e-04	4.628084e+00	1.072046e-03	7.978848e-04
1.657803200383498e-04	5.274035e+00	1.181808e-03	9.056389e-04
1.857803200383498e-04	5.922466e+00	1.291931e-03	1.013801e-03
2.057803200383498e-04	6.573318e+00	1.402418e-03	1.122363e-03
2.257803200383498e-04	7.226537e+00	1.513252e-03	1.231315e-03
2.457803200383498e-04	7.882066e+00	1.624432e-03	1.340648e-03
2.657803200383498e-04	8.539847e+00	1.735942e-03	1.450351e-03
2.857803200383498e-04	9.199827e+00	1.847781e-03	1.560418e-03
3.057803200383498e-04	9.861950e+00	1.959934e-03	1.670837e-03
3.257803200383498e-04	1.052616e+01	2.072399e-03	1.781601e-03
3.457803200383498e-04	1.119240e+01	2.185161e-03	1.892699e-03
3.657803200383498e-04	1.186062e+01	2.298217e-03	2.004123e-03
4.057803200383498e-04	1.320278e+01	2.525165e-03	2.227913e-03
4.457803200383498e-04	1.455220e+01	2.753176e-03	2.452899e-03
4.682803200383498e-04	1.531389e+01	2.881891e-03	2.579956e-03
4.732803200383498e-04	1.548356e+01	2.910914e-03	2.608273e-03
4.822449022916942e-04	1.578797e+01	2.975801e-03	2.660264e-03
4.913130899018824e-04	1.609622e+01	3.050782e-03	2.713725e-03
5.228226433851197e-04	1.716973e+01	3.325379e-03	2.901157e-03
5.828226433851199e-04	1.922375e+01	3.863407e-03	3.260973e-03
6.428226433851201e-04	2.128979e+01	4.409301e-03	3.623320e-03
7.028226433851202e-04	2.336657e+01	4.959889e-03	3.987733e-03
