time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
0.000000000000000e+00	3.155487e-22	1.845498e-22	-3.690997e-24	-3.722345e-26
5.919903919932141e-07	1.311759e-05	1.749235e-05	4.407558e-08	4.188782e-10
9.809770698562353e-07	3.694653e-05	4.784998e-05	8.268633e-08	7.543864e-10
1.400656170323223e-06	7.678177e-05	9.784089e-05	1.272826e-07	1.118430e-09
1.852932345753347e-06	1.362436e-04	1.718837e-04	1.788017e-07	1.510559e-09
2.281771198627783e-06	2.098009e-04	2.630420e-04	2.309545e-07	1.882246e-09
2.834646928512415e-06	3.295869e-04	4.110025e-04	3.029328e-07	2.361247e-09
3.491961018833692e-06	5.073305e-04	6.300003e-04	3.954459e-07	2.930464e-09
4.347234833014999e-06	7.956543e-04	9.845207e-04	5.270836e-07	3.670676e-09
5.382581604826567e-06	1.230695e-03	1.518550e-03	7.034412e-07	4.566081e-09
6.705040324208965e-06	1.923223e-03	2.367484e-03	9.557154e-07	5.708752e-09
8.325862655748009e-06	2.980539e-03	3.662092e-03	1.306089e-06	7.107638e-09
1.037829210700464e-05	4.647835e-03	5.701553e-03	1.814563e-06	8.876524e-09
1.291477717772048e-05	7.212590e-03	8.836056e-03	2.542465e-06	1.105871e-08
1.611211976932629e-05	1.123499e-02	1.374808e-02	3.615672e-06	1.380322e-08
2.008626900334448e-05	1.745180e-02	2.133403e-02	5.189535e-06	1.720437e-08
2.508739599519659e-05	2.717344e-02	3.318756e-02	7.543834e-06	2.146658e-08
3.133302439927735e-05	4.224769e-02	5.155249e-02	1.106063e-05	2.675418e-08
3.919773116408030e-05	6.579299e-02	8.021180e-02	1.638308e-05	3.333377e-08
4.906795599947081e-05	1.024005e-01	1.247241e-01	2.443848e-05	4.141011e-08
6.153503782079898e-05	1.595967e-01	1.941848e-01	3.673353e-05	5.124011e-08
7.728134213233254e-05	2.487781e-01	3.023277e-01	5.552801e-05	6.305429e-08
9.728134213233253e-05	3.864319e-01	4.689721e-01	8.445766e-05	7.730362e-08
1.172813421323325e-04	5.500796e-01	6.667320e-01	1.188091e-04	9.087445e-08
1.372813421323325e-04	7.400089e-01	8.958287e-01	1.583125e-04	1.038152e-07
1.572813421323325e-04	9.550052e-01	1.154683e+00	2.027084e-04	1.161663e-07
1.772813421323325e-04	1.193913e+00	1.441794e+00	2.517499e-04	1.279562e-07
1.972813421323325e-04	1.455634e+00	1.755738e+00	3.052026e-04	1.392107e-07
2.172813421323325e-04	1.739122e+00	2.095161e+00	3.628439e-04	1.499551e-07
2.372813421323325e-04	2.043382e+00	2.458780e+00	4.244624e-04	1.602133e-07
2.572813421323325e-04	2.367469e+00	2.845373e+00	4.898572e-04	1.700085e-07
2.772813421323325e-04	2.710480e+00	3.253779e+00	5.588376e-04	1.793623e-07
2.972813421323325e-04	3.071557e+00	3.682898e+00	6.312223e-04	1.882959e-07
3.172813421323325e-04	3.449885e+00	4.131681e+00	7.068389e-04	1.968289e-07
3.372813421323325e-04	3.844685e+00	4.599133e+00	7.855239e-04	2.049805e-07
3.572813421323325e-04	4.255215e+00	5.084309e+00	8.671215e-04	2.127684e-07
3.772813421323325e-04	4.680771e+00	5.586309e+00	9.514838e-04	2.202098e-07
3.972813421323325e-04	5.120680e+00	6.104279e+00	1.038470e-03	2.273208e-07
4.172813421323325e-04	5.574299e+00	6.637404e+00	1.127947e-03	2.341170e-07
4.372813421323325e-04	6.041019e+00	7.184914e+00	1.219788e-03	2.406129e-07
4.572813421323325e-04	6.520255e+00	7.746070e+00	1.313870e-03	2.468223e-07
4.772813421323325e-04	7.011453e+00	8.320176e+00	1.410080e-03	2.527585e-07
4.972813421323325e-04	7.514082e+00	8.906565e+00	1.508307e-03	2.584340e-07
5.172813421323325e-04	8.027636e+00	9.504603e+00	1.608448e-03	2.638606e-07
5.372813421323326e-04	8.551632e+00	1.011369e+01	1.710404e-03	2.690496e-07
5.772813421323327e-04	9.629128e+00	1.136274e+01	1.919385e-03	2.787571e-07
6.172813421323328e-04	1.074312e+01	1.264944e+01	2.134549e-03	2.876357e-07
6.572813421323329e-04	1.189046e+01	1.396992e+01	2.355258e-03	2.957568e-07
6.997813421323330e-04	1.314120e+01	1.540444e+01	2.595223e-03	3.045281e-07
7.047813421323330e-04	1.329079e+01	1.557560e+01	2.624210e-03	3.110217e-07
7.147813421323330e-04	1.359110e+01	1.591903e+01	2.683566e-03	3.326396e-07
7.400017013304210e-04	1.435538e+01	1.679178e+01	2.835917e-03	4.028986e-07
8.000017013304211e-04	1.621193e+01	1.890419e+01	3.206233e-03	5.891621e-07
8.600017013304212e-04	1.811749e+01	2.106141e+01	3.584891e-03	7.835948e-07
9.200017013304214e-04	2.006622e+01	2.325645e+01	3.970302e-03	9.826474e-07
1.000001701330422e-03	2.272192e+01	2.623067e+01	4.492618e-03	1.253377e-06
1.080001701330422e-03	2.543246e+01	2.924697e+01	5.022404e-03	1.528825e-06
1.180001701330422e-03	2.888232e+01	3.305931e+01	5.692118e-03	1.878151e-06
1.240001701330422e-03	3.097853e+01	3.536189e+01	6.096676e-03	2.089785e-06
1.260001701330422e-03	3.168073e+01	3.613098e+01	6.231843e-03	2.178088e-06
1.280001701330422e-03	3.238363e+01	3.690013e+01	6.374016e-03	2.316290e-06
1.281038319651757e-03	3.241981e+01	3.693976e+01	6.384455e-03	2.349656e-06
1.283111556294427e-03	3.249110e+01	3.701801e+01	6.411058e-03	2.521594e-06
1.286013172230549e-03	3.258819e+01	3.712511e+01	6.470224e-03	3.010354e-06
1.289351187634727e-03	3.269399e+01	3.724314e+01	6.590353e-03	4.106554e-06
1.292809286729605e-03	3.279377e+01	3.735677e+01	6.801254e-03	6.133971e-06
1.296857007553441e-03	3.289919e+01	3.748022e+01	7.189600e-03	9.492942e-06
1.297521515753211e-03	3.291417e+01	3.749840e+01	7.269114e-03	1.026015e-05
1.297545404834935e-03	3.291372e+01	3.749809e+01	7.273405e-03	1.038610e-05
1.297594523751910e-03	3.290971e+01	3.749461e+01	7.336062e-03	1.093456e-05
1.297602568273076e-03	3.290715e+01	3.749223e+01	7.360137e-03	1.120942e-05
1.297613294301297e-03	3.289965e+01	3.748512e+01	7.412909e-03	1.197752e-05
1.297634746357738e-03	3.286597e+01	3.745314e+01	7.673923e-03	1.532659e-05
1.297653391100015e-03	3.280011e+01	3.739065e+01	8.253782e-03	2.177757e-05
1.297669063413963e-03	3.268447e+01	3.728096e+01	9.290288e-03	3.303405e-05
1.297683536914210e-03	3.251231e+01	3.711845e+01	1.109328e-02	4.967613e-05
1.297685925369270e-03	3.247190e+01	3.708031e+01	1.151600e-02	5.357816e-05
1.297690702279390e-03	3.236448e+01	3.697838e+01	1.245020e-02	6.399937e-05
1.297700256099629e-03	3.208012e+01	3.670871e+01	1.495202e-02	9.155848e-05
1.297711131335882e-03	3.160591e+01	3.625927e+01	1.914398e-02	1.374700e-04
1.297724739488322e-03	3.069473e+01	3.539658e+01	2.726145e-02	2.255682e-04
1.297739448542381e-03	2.919705e+01	3.398158e+01	4.096769e-02	3.700383e-04
1.297755017776319e-03	2.691523e+01	3.183230e+01	6.242403e-02	5.894508e-04
1.297772003505271e-03	2.375731e+01	2.887462e+01	9.340671e-02	8.913781e-04
1.297792127405412e-03	1.966382e+01	2.507128e+01	1.324010e-01	1.279632e-03
1.297795389098921e-03	1.903907e+01	2.449581e+01	1.380579e-01	1.338377e-03
1.297801912485940e-03	1.800312e+01	2.355249e+01	1.483851e-01	1.434683e-03
1.297814959259977e-03	1.632869e+01	2.204711e+01	1.629223e-01	1.588392e-03
1.297817534007778e-03	1.608231e+01	2.183040e+01	1.647393e-01	1.610522e-03
1.297822683503381e-03	1.574338e+01	2.154540e+01	1.678961e-01	1.639637e-03
1.297832982494586e-03	1.525316e+01	2.114644e+01	1.719747e-01	1.680430e-03
1.297843854123282e-03	1.492631e+01	2.087473e+01	1.744703e-01	1.708239e-03
1.297856353123938e-03	1.470444e+01	2.066893e+01	1.764719e-01	1.729309e-03
1.297866639031488e-03	1.458254e+01	2.055024e+01	1.776457e-01	1.741478e-03
1.297880881405653e-03	1.446893e+01	2.044152e+01	1.787668e-01	1.752662e-03
1.297901954645355e-03	1.436881e+01	2.034541e+01	1.797981e-01	1.762603e-03
1.297944101124759e-03	1.427363e+01	2.025452e+01	1.807829e-01	1.772149e-03
1.298026577707562e-03	1.420556e+01	2.018989e+01	1.813791e-01	1.779276e-03
1.298129851676861e-03	1.418131e+01	2.016783e+01	1.815873e-01	1.782192e-03
1.299823530152632e-03	1.417003e+01	2.017854e+01	1.825308e-01	1.792008e-03
1.578896316941840e-03	1.420841e+01	2.380616e+01	3.271634e-01	3.232535e-03
1.838896316941841e-03	1.423179e+01	2.718067e+01	4.621222e-01	4.576698e-03
2.138896316941842e-03	1.425192e+01	3.100932e+01	6.152376e-01	6.101703e-03
2.498896316941843e-03	1.427052e+01	3.542807e+01	7.918839e-01	7.861074e-03
2.918896316941844e-03	1.428738e+01	4.022947e+01	9.838263e-01	9.772798e-03
3.338896316941845e-03	1.430058e+01	4.454156e+01	1.156340e+00	1.149102e-02
3.758896316941846e-03	1.431097e+01	4.827240e+01	1.305852e+00	1.298016e-02
4.178896316941847e-03	1.431897e+01	5.134795e+01	1.429470e+00	1.421141e-02
4.598896316941848e-03	1.432486e+01	5.370987e+01	1.524896e+00	1.516189e-02
5.018896316941849e-03	1.432877e+01	5.531446e+01	1.590399e+00	1.581435e-02
5.438896316941850e-03	1.433079e+01	5.613242e+01	1.624806e+00	1.615711e-02
5.858896316941851e-03	1.433094e+01	5.614874e+01	1.627503e+00	1.618405e-02
6.278896316941852e-03	1.432925e+01	5.536267e+01	1.598437e+00	1.589466e-02
6.698896316941853e-03	1.432566e+01	5.378752e+01	1.538115e+00	1.529397e-02
7.058896316941854e-03	1.432103e+01	5.182952e+01	1.462315e+00	1.453911e-02
7.478896316941855e-03	1.431370e+01	4.887081e+01	1.347135e+00	1.339205e-02
7.878896316941853e-03	1.430458e+01	4.542242e+01	1.212420e+00	1.205044e-02
8.278896316941836e-03	1.429305e+01	4.141342e+01	1.055463e+00	1.048730e-02
8.678896316941820e-03	1.427850e+01	3.690604e+01	8.787525e-01	8.727423e-03
