time	V(A1,L)	V(D,G)	V(g)	V(l)	d(V(A1,L))	Ix(U1:A)
0.000000000000000e+00	-5.644215e-22	-2.091628e-21	1.139145e-22	1.128617e-25	3.529668e+01	-9.399204e-28
3.477422835108350e-07	1.381675e-04	-1.426438e-07	7.881022e-10	2.233699e-10	7.593579e+02	2.300926e-10
6.954845670216700e-07	5.281217e-04	-2.762103e-08	3.993711e-09	8.591932e-10	1.483419e+03	8.794808e-10
1.043226850532505e-06	1.169863e-03	3.450684e-07	9.616825e-09	1.907470e-09	2.207480e+03	1.948165e-09
1.390969134043340e-06	2.063390e-03	9.754245e-07	1.765745e-08	3.368200e-09	2.931542e+03	3.436144e-09
1.738711417554175e-06	3.208705e-03	1.863447e-06	2.811557e-08	5.241384e-09	3.655603e+03	5.343419e-09
2.086453701065010e-06	4.605806e-03	3.009136e-06	4.099121e-08	7.527022e-09	4.379664e+03	7.669990e-09
2.434195984575845e-06	6.254694e-03	4.412492e-06	5.628435e-08	1.022511e-08	5.664988e+03	1.041586e-08
3.036078576194447e-06	9.664351e-03	8.523680e-06	8.820706e-08	1.580247e-08	6.416940e+03	1.609390e-08
3.806047214450856e-06	1.505778e-02	1.669017e-05	1.390558e-07	2.462640e-08	7.911277e+03	2.507549e-08
4.760016531782047e-06	2.330290e-02	3.240738e-05	2.172569e-07	3.812211e-08	9.761080e+03	3.880594e-08
5.975899315061511e-06	3.623788e-02	6.350290e-05	3.405472e-07	5.930251e-08	1.198069e+04	6.034633e-08
7.499102701870586e-06	5.611905e-02	1.239793e-04	5.308946e-07	9.187806e-08	1.467809e+04	9.345407e-08
9.444090398068342e-06	8.714431e-02	2.438011e-04	8.291214e-07	1.427478e-07	1.787738e+04	1.451199e-07
1.190961564241579e-05	1.349674e-01	4.794734e-04	1.290619e-06	2.212354e-07	2.167195e+04	2.247589e-07
1.508264295499989e-05	2.093428e-01	9.498991e-04	2.011142e-06	3.434360e-07	2.606381e+04	3.486147e-07
1.916906928136187e-05	3.241765e-01	1.889533e-03	3.128375e-06	5.323926e-07	3.107934e+04	5.398451e-07
2.451257795268721e-05	5.024189e-01	3.795185e-03	4.870767e-06	8.262015e-07	3.662564e+04	8.366689e-07
3.157015779095166e-05	7.783743e-01	7.701281e-03	7.583728e-06	1.282095e-06	4.255782e+04	1.296212e-06
4.109329117036833e-05	1.208058e+00	1.589320e-02	1.183706e-05	1.993853e-06	4.856749e+04	2.011756e-06
5.425285619746933e-05	1.880016e+00	3.355143e-02	1.854244e-05	3.110456e-06	5.405349e+04	3.130755e-06
7.317072696534028e-05	2.941955e+00	7.151701e-02	2.926282e-05	4.890976e-06	5.804128e+04	4.899182e-06
9.317072696534028e-05	4.138859e+00	1.281570e-01	4.127175e-05	6.908126e-06	6.104872e+04	6.892364e-06
1.131707269653403e-04	5.383904e+00	2.034813e-01	5.336391e-05	8.999890e-06	6.292925e+04	8.965713e-06
1.331707269653403e-04	6.656029e+00	2.980439e-01	6.533877e-05	1.113244e-05	6.399606e+04	1.108416e-05
1.531707269653403e-04	7.943747e+00	4.118786e-01	7.722434e-05	1.328877e-05	6.462878e+04	1.322857e-05
1.731707269653403e-04	9.241180e+00	5.448780e-01	8.903147e-05	1.546014e-05	6.503769e+04	1.538916e-05
1.931707269653403e-04	1.054525e+01	6.968633e-01	1.007486e-04	1.764196e-05	6.532801e+04	1.756081e-05
2.131707269653403e-04	1.185430e+01	8.676203e-01	1.123626e-04	1.983168e-05	6.555234e+04	1.974074e-05
2.331707269653403e-04	1.316735e+01	1.056917e+00	1.238659e-04	2.202783e-05	6.573692e+04	2.192733e-05
2.531707269653403e-04	1.448378e+01	1.264511e+00	1.352537e-04	2.422941e-05	6.589499e+04	2.411956e-05
2.731707269653403e-04	1.580315e+01	1.490157e+00	1.465234e-04	2.643574e-05	6.603309e+04	2.631668e-05
2.931707269653403e-04	1.712510e+01	1.733607e+00	1.576727e-04	2.864623e-05	6.615449e+04	2.851810e-05
3.131707269653403e-04	1.844933e+01	1.994610e+00	1.687006e-04	3.086037e-05	6.626089e+04	3.072331e-05
3.331707269653403e-04	1.977554e+01	2.272916e+00	1.796057e-04	3.307769e-05	6.635311e+04	3.293182e-05
3.531707269653403e-04	2.110345e+01	2.568273e+00	1.903875e-04	3.529771e-05	6.643160e+04	3.514318e-05
3.731707269653403e-04	2.243280e+01	2.880429e+00	2.010447e-04	3.752000e-05	6.649655e+04	3.735691e-05
3.931707269653403e-04	2.376331e+01	3.209133e+00	2.115770e-04	3.974409e-05	6.656613e+04	3.957259e-05
