time	V(A1,L)	V(D,G)	V(g)	V(l)	d(V(A1,L))	Ix(U1:A)
0.000000000000000e+00	1.126418e-22	4.174269e-22	-2.273397e-23	-2.252387e-26	6.247078e+04	1.875802e-28
1.872457037929313e-06	1.170056e-01	1.123695e-04	1.121121e-06	1.957945e-07	6.250470e+04	1.948475e-07
3.744914075858626e-06	2.340747e-01	4.478616e-04	2.253085e-06	3.916764e-07	6.253862e+04	3.898007e-07
5.617371113787939e-06	3.512074e-01	1.006476e-03	3.395894e-06	5.876456e-07	6.257254e+04	5.848595e-07
7.489828151717252e-06	4.684035e-01	1.788214e-03	4.549548e-06	7.837023e-07	6.260646e+04	7.800241e-07
9.362285189646566e-06	5.856632e-01	2.793074e-03	5.714045e-06	9.798463e-07	6.264038e+04	9.752944e-07
1.123474222757588e-05	7.029864e-01	4.021056e-03	6.889387e-06	1.176078e-06	6.267430e+04	1.170670e-06
1.310719926550519e-05	8.203731e-01	5.472161e-03	8.075573e-06	1.372397e-06	6.280001e+04	1.366152e-06
2.621439853101037e-05	1.643505e+00	2.078750e-02	1.629968e-05	2.748992e-06	6.292338e+04	2.736899e-06
4.621439853101037e-05	2.903590e+00	5.912888e-02	2.899111e-05	4.857272e-06	6.312466e+04	4.835293e-06
6.621439853101037e-05	4.168492e+00	1.156530e-01	4.166112e-05	6.974352e-06	6.337100e+04	6.941710e-06
8.621439853101037e-05	5.438430e+00	1.918647e-01	5.400928e-05	9.099488e-06	6.361617e+04	9.056514e-06
1.062143985310104e-04	6.713138e+00	2.875237e-01	6.600097e-05	1.123220e-05	6.384800e+04	1.117926e-05
1.262143985310104e-04	7.992350e+00	4.023889e-01	7.778729e-05	1.337221e-05	6.406651e+04	1.330951e-05
1.462143985310104e-04	9.275799e+00	5.362191e-01	8.944488e-05	1.551913e-05	6.427170e+04	1.544681e-05
1.662143985310104e-04	1.056322e+01	6.887727e-01	1.009905e-04	1.767255e-05	6.446356e+04	1.759073e-05
1.862143985310104e-04	1.185434e+01	8.598077e-01	1.124244e-04	1.983202e-05	6.464213e+04	1.974081e-05
2.062143985310104e-04	1.314890e+01	1.049082e+00	1.237449e-04	2.199709e-05	6.480740e+04	2.189662e-05
2.262143985310104e-04	1.444664e+01	1.256352e+00	1.349507e-04	2.416733e-05	6.495935e+04	2.405771e-05
2.462143985310104e-04	1.574728e+01	1.481375e+00	1.460403e-04	2.634228e-05	6.509803e+04	2.622364e-05
2.662143985310104e-04	1.705056e+01	1.723907e+00	1.570127e-04	2.852152e-05	6.522349e+04	2.839397e-05
2.862143985310104e-04	1.835622e+01	1.983705e+00	1.678670e-04	3.070458e-05	6.533564e+04	3.056826e-05
3.062143985310103e-04	1.966398e+01	2.260524e+00	1.786020e-04	3.289104e-05	6.543454e+04	3.274606e-05
3.262143985310103e-04	2.097360e+01	2.554120e+00	1.892172e-04	3.508045e-05	6.552027e+04	3.492693e-05
3.462143985310103e-04	2.228479e+01	2.864248e+00	1.997116e-04	3.727238e-05	6.559275e+04	3.711044e-05
3.662143985310103e-04	2.359731e+01	3.190662e+00	2.100846e-04	3.946637e-05	6.567410e+04	3.929615e-05
4.062143985310103e-04	2.622524e+01	3.891368e+00	2.304638e-04	4.385882e-05	6.572481e+04	4.367239e-05
