time	V(a1)	V(vcc)	I(R1) Step Information: X=-50  (Step: 1/2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.865535998146507e-03	-2.932742e-01	-2.932768e-01	-2.638245e-09
5.031553599814744e-02	-2.515773e+00	-2.515777e+00	-3.675287e-09
1.015155359981435e-01	-5.075772e+00	-5.075777e+00	-4.352072e-09
1.527155359981379e-01	-7.635772e+00	-7.635777e+00	-4.848374e-09
2.039155359981322e-01	-1.019577e+01	-1.019578e+01	-5.250867e-09
2.551155359981266e-01	-1.275577e+01	-1.275578e+01	-5.594297e-09
3.063155359981209e-01	-1.531577e+01	-1.531578e+01	-5.896544e-09
3.575155359981153e-01	-1.787577e+01	-1.787578e+01	-6.168051e-09
4.087155359981097e-01	-2.043577e+01	-2.043578e+01	-6.415708e-09
4.322655359981071e-01	-2.161327e+01	-2.161328e+01	-7.655892e-09
4.362155359981066e-01	-2.181076e+01	-2.181078e+01	-1.778413e-08
4.454655359981056e-01	-2.227322e+01	-2.227328e+01	-5.466110e-08
4.599155359981040e-01	-2.299566e+01	-2.299578e+01	-1.206290e-07
5.111155359980984e-01	-2.555541e+01	-2.555578e+01	-3.681637e-07
5.623155359980928e-01	-2.811516e+01	-2.811578e+01	-6.203479e-07
6.135155359980872e-01	-3.067490e+01	-3.067578e+01	-8.738901e-07
6.507655359980831e-01	-3.253721e+01	-3.253828e+01	-1.062698e-06
6.531155359980828e-01	-3.265468e+01	-3.265578e+01	-1.095054e-06
6.545655359980826e-01	-3.272714e+01	-3.272828e+01	-1.138533e-06
6.556655359980825e-01	-3.278208e+01	-3.278328e+01	-1.197573e-06
6.565655359980824e-01	-3.282700e+01	-3.282828e+01	-1.273571e-06
6.573655359980823e-01	-3.286691e+01	-3.286828e+01	-1.371169e-06
6.580655359980823e-01	-3.290179e+01	-3.290328e+01	-1.487080e-06
6.587155359980822e-01	-3.293415e+01	-3.293578e+01	-1.626549e-06
6.593655359980821e-01	-3.296647e+01	-3.296828e+01	-1.803190e-06
6.599655359980821e-01	-3.299627e+01	-3.299828e+01	-2.005570e-06
6.605655359980820e-01	-3.302602e+01	-3.302828e+01	-2.252600e-06
6.611155359980819e-01	-3.305325e+01	-3.305578e+01	-2.524966e-06
6.616655359980819e-01	-3.308043e+01	-3.308328e+01	-2.848536e-06
6.622155359980818e-01	-3.310754e+01	-3.311077e+01	-3.231554e-06
6.627655359980817e-01	-3.313459e+01	-3.313828e+01	-3.683602e-06
6.633155359980817e-01	-3.316156e+01	-3.316578e+01	-4.215804e-06
6.638155359980816e-01	-3.318600e+01	-3.319078e+01	-4.779970e-06
6.643155359980816e-01	-3.321035e+01	-3.321578e+01	-5.432062e-06
6.647155359980815e-01	-3.322975e+01	-3.323577e+01	-6.025423e-06
6.652155359980815e-01	-3.325391e+01	-3.326078e+01	-6.868504e-06
6.657155359980814e-01	-3.327794e+01	-3.328578e+01	-7.838857e-06
6.662155359980814e-01	-3.330182e+01	-3.331078e+01	-8.953945e-06
6.666297991167203e-01	-3.332149e+01	-3.333149e+01	-1.000406e-05
6.666299314628918e-01	-3.332148e+01	-3.333150e+01	-1.015518e-05
6.666301961552350e-01	-3.332064e+01	-3.333151e+01	-2.266512e-05
6.666307255399213e-01	-3.324819e+01	-3.333154e+01	-8.512219e-05
6.666307372396643e-01	-3.324296e+01	-3.333154e+01	-8.906367e-05
6.666307606391502e-01	-3.322958e+01	-3.333154e+01	-1.038125e-04
6.666308074381219e-01	-3.319168e+01	-3.333154e+01	-1.472774e-04
6.666309010360653e-01	-3.307136e+01	-3.333155e+01	-3.156885e-04
6.666310882319522e-01	-3.249770e+01	-3.333155e+01	-8.385637e-04
6.666310940818236e-01	-3.247006e+01	-3.333155e+01	-8.619615e-04
6.666311057815666e-01	-3.241198e+01	-3.333155e+01	-9.218032e-04
6.666311291810525e-01	-3.228246e+01	-3.333156e+01	-1.056780e-03
6.666311759800242e-01	-3.197734e+01	-3.333156e+01	-1.386753e-03
6.666312695779676e-01	-3.117192e+01	-3.333156e+01	-2.273463e-03
6.666314567738545e-01	-2.887817e+01	-3.333157e+01	-4.483399e-03
6.666316569197199e-01	-2.630160e+01	-3.333158e+01	-6.740445e-03
6.666319272996368e-01	-2.418223e+01	-3.333160e+01	-9.104086e-03
6.666319585267385e-01	-2.403847e+01	-3.333160e+01	-9.286600e-03
6.666320209809418e-01	-2.379010e+01	-3.333160e+01	-9.518214e-03
6.666321458893483e-01	-2.343307e+01	-3.333161e+01	-9.842835e-03
6.666323957061613e-01	-2.305321e+01	-3.333162e+01	-1.019811e-02
6.666328485460301e-01	-2.281639e+01	-3.333164e+01	-1.047161e-02
6.666333334427329e-01	-2.274355e+01	-3.333167e+01	-1.057182e-02
6.666355117305527e-01	-2.269299e+01	-3.333178e+01	-1.063386e-02
7.128821850570346e-01	-2.271068e+01	-3.564411e+01	-1.293344e-02
7.640821850570290e-01	-2.272679e+01	-3.820411e+01	-1.547733e-02
8.152821850570233e-01	-2.274136e+01	-4.076411e+01	-1.802276e-02
8.664821850570177e-01	-2.275480e+01	-4.332411e+01	-2.056932e-02
9.176821850570120e-01	-2.276737e+01	-4.588411e+01	-2.311674e-02
9.688821850570064e-01	-2.277927e+01	-4.844411e+01	-2.566485e-02
9.999821850570030e-01	-2.278622e+01	-4.999911e+01	-2.721290e-02
1.000000000000000e+00	-2.278621e+01	-5.000000e+01	-2.721379e-02 Step Information: X=50  (Step: 2/2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.865535998146507e-03	2.932742e-01	2.932768e-01	2.638245e-09
5.026553599814744e-02	2.513273e+00	2.513277e+00	3.674475e-09
1.014655359981435e-01	5.073272e+00	5.073277e+00	4.351520e-09
1.526655359981379e-01	7.633272e+00	7.633277e+00	4.847944e-09
2.038655359981322e-01	1.019327e+01	1.019328e+01	5.250515e-09
2.550655359981266e-01	1.275327e+01	1.275328e+01	5.593995e-09
3.062655359981210e-01	1.531327e+01	1.531328e+01	5.896246e-09
3.574655359981153e-01	1.787327e+01	1.787328e+01	6.167804e-09
4.086655359981097e-01	2.043327e+01	2.043328e+01	6.415469e-09
4.322655359981071e-01	2.161327e+01	2.161328e+01	7.655893e-09
4.362155359981066e-01	2.181076e+01	2.181078e+01	1.778413e-08
4.454655359981056e-01	2.227322e+01	2.227328e+01	5.466110e-08
4.598655359981040e-01	2.299316e+01	2.299328e+01	1.203941e-07
5.110655359980985e-01	2.555291e+01	2.555328e+01	3.679186e-07
5.622655359980928e-01	2.811266e+01	2.811328e+01	6.201007e-07
6.134655359980872e-01	3.067240e+01	3.067328e+01	8.736421e-07
6.507655359980831e-01	3.253721e+01	3.253828e+01	1.062698e-06
6.531155359980828e-01	3.265468e+01	3.265578e+01	1.095054e-06
6.545655359980826e-01	3.272714e+01	3.272828e+01	1.138533e-06
6.556655359980825e-01	3.278208e+01	3.278328e+01	1.197573e-06
6.565655359980824e-01	3.282700e+01	3.282828e+01	1.273571e-06
6.573655359980823e-01	3.286691e+01	3.286828e+01	1.371169e-06
6.580655359980823e-01	3.290179e+01	3.290328e+01	1.487080e-06
6.587155359980822e-01	3.293415e+01	3.293578e+01	1.626549e-06
6.593655359980821e-01	3.296647e+01	3.296828e+01	1.803190e-06
