time	V(a)	V(a1)
0.000000000000000e+00	1.000000e-06	2.922616e-23
6.399999641359955e-09	1.021333e-06	8.155446e-06
1.279999928271991e-08	1.042667e-06	2.850864e-05
2.559999856543982e-08	1.085333e-06	9.106909e-05
5.091289027216971e-08	1.169709e-06	2.527202e-04
7.448240627980742e-08	1.248274e-06	4.260054e-04
1.105641433450684e-07	1.368546e-06	7.085784e-04
3.384424265956772e-07	2.128139e-06	2.536181e-03
6.010750721072550e-07	3.003580e-06	4.652677e-03
8.108876903381350e-07	3.702954e-06	6.344486e-03
1.132316712756760e-06	4.774382e-06	8.936475e-03
1.719613800459137e-06	6.732035e-06	1.367246e-02
2.894207975863891e-06	1.064734e-05	2.314443e-02
5.243396326673400e-06	1.847795e-05	4.208840e-02
9.941773028292416e-06	3.413918e-05	7.997648e-02
1.933852643153045e-05	6.546162e-05	1.557524e-01
3.813203323800652e-05	1.281065e-04	3.073004e-01
5.813203323800652e-05	1.947731e-04	4.685666e-01
7.813203323800652e-05	2.614396e-04	6.298144e-01
9.813203323800652e-05	3.281061e-04	7.910370e-01
1.981320332380065e-04	6.614388e-04	1.596558e+00
4.981320332380065e-04	1.661437e-03	4.000496e+00
9.181320332380075e-04	3.061434e-03	7.301632e+00
1.338132033238009e-03	4.461431e-03	1.047583e+01
1.718132033238010e-03	5.728095e-03	1.319225e+01
1.738132033238010e-03	5.794762e-03	1.333033e+01
1.758132033238010e-03	5.861429e-03	1.346788e+01
1.818132033238010e-03	6.061428e-03	1.387730e+01
2.258132033238011e-03	7.528092e-03	1.671985e+01
2.578132033238012e-03	8.594756e-03	1.858970e+01
2.898132033238012e-03	9.661421e-03	2.027187e+01
3.218132033238013e-03	1.072809e-02	2.174937e+01
3.558132033238014e-03	1.186142e-02	2.307830e+01
3.898132033238015e-03	1.299475e-02	2.414421e+01
4.238132033238016e-03	1.412808e-02	2.493495e+01
4.578132033238017e-03	1.526141e-02	2.544151e+01
4.918132033238018e-03	1.639474e-02	2.565812e+01
5.258132033238019e-03	1.752807e-02	2.558229e+01
5.598132033238020e-03	1.866140e-02	2.521491e+01
5.938132033238020e-03	1.979473e-02	2.456015e+01
6.278132033238021e-03	2.092806e-02	2.362548e+01
6.618132033238022e-03	2.206140e-02	2.242155e+01
6.938132033238023e-03	2.312806e-02	2.105473e+01
7.258132033238024e-03	2.419472e-02	1.947532e+01
7.578132033238025e-03	2.526139e-02	1.769929e+01
7.898132033238022e-03	2.632805e-02	1.574454e+01
8.138132033238012e-03	2.712805e-02	1.417301e+01
8.198132033238010e-03	2.732805e-02	1.376718e+01
8.218132033238009e-03	2.739472e-02	1.363079e+01
8.238132033238008e-03	2.746139e-02	1.349387e+01
8.678132033237990e-03	2.892805e-02	1.035630e+01
9.118132033237972e-03	3.039471e-02	7.021164e+00
9.558132033237954e-03	3.186138e-02	3.552084e+00
9.958132033237938e-03	3.319471e-02	3.378019e-01
9.998132033237937e-03	3.332804e-02	1.524525e-02
1.009813203323793e-02	3.366137e-02	-7.910509e-01
1.047813203323792e-02	3.492804e-02	-3.841117e+00
