time	V(g)	Ix(U1:G)	Ix(U1:K)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.031553599814744e-02	6.541020e-02	6.541027e-05	-6.541027e-05
1.015155359981435e-01	1.319702e-01	1.319703e-04	-1.319703e-04
1.527155359981379e-01	1.985302e-01	1.985303e-04	-1.985303e-04
2.039155359981322e-01	2.650902e-01	2.650903e-04	-2.650903e-04
2.551155359981266e-01	3.316502e-01	3.316503e-04	-3.316503e-04
3.063155359981209e-01	3.982102e-01	3.982108e-04	-3.982108e-04
3.575155359981153e-01	4.647702e-01	4.647767e-04	-4.647767e-04
4.087155359981097e-01	5.313302e-01	5.314138e-04	-5.314138e-04
4.599155359981040e-01	5.978902e-01	5.989843e-04	-5.989843e-04
4.672226788552461e-01	6.073895e-01	6.085065e-04	-6.085065e-04
4.745298217123882e-01	6.168887e-01	6.186485e-04	-6.186485e-04
4.818369645695302e-01	6.263880e-01	6.294102e-04	-6.294102e-04
4.891441074266723e-01	6.358873e-01	6.407916e-04	-6.407916e-04
4.964512502838143e-01	6.453866e-01	6.527928e-04	-6.527928e-04
5.037583931409564e-01	6.548859e-01	6.654137e-04	-6.654137e-04
5.110655359980985e-01	6.643852e-01	6.786544e-04	-6.786544e-04
5.111155359980984e-01	6.644502e-01	6.787552e-04	-6.787552e-04
5.163369645695265e-01	6.712380e-01	6.883774e-04	-6.883774e-04
5.215583931409544e-01	6.780259e-01	7.005892e-04	-7.005892e-04
5.267798217123825e-01	6.848138e-01	7.153905e-04	-7.153905e-04
5.320012502838104e-01	6.916016e-01	7.327813e-04	-7.327813e-04
5.372226788552384e-01	6.983895e-01	7.527616e-04	-7.527616e-04
5.424441074266664e-01	7.051773e-01	7.753314e-04	-7.753314e-04
5.476655359980944e-01	7.119652e-01	8.004907e-04	-8.004907e-04
5.497512502838084e-01	7.146766e-01	8.125064e-04	-8.125064e-04
5.518369645695226e-01	7.173881e-01	8.258302e-04	-8.258302e-04
5.539226788552366e-01	7.200995e-01	8.404623e-04	-8.404623e-04
5.560083931409506e-01	7.228109e-01	8.564026e-04	-8.564026e-04
5.580941074266647e-01	7.255223e-01	8.736510e-04	-8.736510e-04
5.601798217123788e-01	7.282338e-01	8.922077e-04	-8.922077e-04
5.622655359980928e-01	7.309452e-01	9.120726e-04	-9.120726e-04
5.623155359980928e-01	7.310102e-01	9.125778e-04	-9.125778e-04
5.655726788552353e-01	7.352445e-01	9.456704e-04	-9.456704e-04
5.688298217123778e-01	7.394788e-01	9.859042e-04	-9.859042e-04
5.720869645695204e-01	7.437130e-01	1.033279e-03	-1.033279e-03
5.753441074266628e-01	7.479473e-01	1.087796e-03	-1.087796e-03
5.786012502838053e-01	7.521816e-01	1.149453e-03	-1.149453e-03
5.818583931409478e-01	7.564159e-01	1.218252e-03	-1.218252e-03
5.851155359980903e-01	7.606502e-01	1.294193e-03	-1.294193e-03
5.885155359980899e-01	7.650702e-01	1.384028e-03	-1.384028e-03
5.919155359980895e-01	7.694902e-01	1.490078e-03	-1.490078e-03
5.953155359980892e-01	7.739102e-01	1.612342e-03	-1.612342e-03
5.987155359980888e-01	7.783302e-01	1.750821e-03	-1.750821e-03
6.021155359980884e-01	7.827502e-01	1.905514e-03	-1.905514e-03
6.055155359980881e-01	7.871702e-01	2.076422e-03	-2.076422e-03
6.089155359980877e-01	7.915902e-01	2.263544e-03	-2.263544e-03
6.135155359980872e-01	7.975702e-01	2.553364e-03	-2.553364e-03
6.200512502838007e-01	8.060666e-01	3.039190e-03	-3.039190e-03
6.265869645695143e-01	8.145631e-01	3.601968e-03	-3.601968e-03
6.331226788552279e-01	8.230595e-01	4.241698e-03	-4.241698e-03
6.396583931409414e-01	8.315559e-01	4.958381e-03	-4.958381e-03
6.461941074266551e-01	8.400523e-01	5.752015e-03	-5.752015e-03
6.527298217123686e-01	8.485488e-01	6.622601e-03	-6.622601e-03
6.592655359980821e-01	8.570452e-01	7.570139e-03	-7.570139e-03
