v1	V(a)	V(vcc)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e+00	9.961019e-01	1.000000e+00	8.293947e-07
2.000000000000000e+00	1.992204e+00	2.000000e+00	1.658789e-06
3.000000000000000e+00	2.988306e+00	3.000000e+00	2.488184e-06
4.000000000000000e+00	3.984407e+00	4.000000e+00	3.317579e-06
5.000000000000000e+00	4.980509e+00	5.000000e+00	4.146973e-06
6.000000000000000e+00	5.976611e+00	6.000000e+00	4.976368e-06
7.000000000000000e+00	6.972713e+00	7.000000e+00	5.805763e-06
8.000000000000000e+00	7.968815e+00	8.000000e+00	6.635158e-06
9.000000000000000e+00	8.964916e+00	9.000000e+00	7.464552e-06
1.000000000000000e+01	9.961019e+00	1.000000e+01	8.293947e-06
1.100000000000000e+01	1.095712e+01	1.100000e+01	9.123341e-06
1.200000000000000e+01	1.195322e+01	1.200000e+01	9.952736e-06
1.300000000000000e+01	1.294932e+01	1.300000e+01	1.078213e-05
1.400000000000000e+01	1.394543e+01	1.400000e+01	1.161153e-05
1.500000000000000e+01	1.494153e+01	1.500000e+01	1.244092e-05
1.600000000000000e+01	1.593763e+01	1.600000e+01	1.327032e-05
1.700000000000000e+01	1.693373e+01	1.700000e+01	1.409971e-05
1.800000000000000e+01	1.792983e+01	1.800000e+01	1.492910e-05
1.900000000000000e+01	1.892594e+01	1.900000e+01	1.575850e-05
2.000000000000000e+01	1.992204e+01	2.000000e+01	1.658789e-05
2.100000000000000e+01	2.091814e+01	2.100000e+01	1.741729e-05
2.200000000000000e+01	2.191424e+01	2.200000e+01	1.824668e-05
2.300000000000000e+01	2.291034e+01	2.300000e+01	1.907608e-05
2.400000000000000e+01	2.390644e+01	2.400000e+01	1.990547e-05
2.500000000000000e+01	2.490255e+01	2.500000e+01	2.073487e-05
2.600000000000000e+01	2.589865e+01	2.600000e+01	2.156426e-05
2.700000000000000e+01	2.689475e+01	2.700000e+01	2.239366e-05
2.800000000000000e+01	2.789085e+01	2.800000e+01	2.322305e-05
2.900000000000000e+01	2.888695e+01	2.900000e+01	2.405245e-05
3.000000000000000e+01	2.988305e+01	3.000000e+01	2.488184e-05
3.100000000000000e+01	3.087916e+01	3.100000e+01	2.571124e-05
3.200000000000000e+01	3.187526e+01	3.200000e+01	2.654063e-05
3.300000000000000e+01	3.287136e+01	3.300000e+01	2.737002e-05
3.400000000000000e+01	3.386746e+01	3.400000e+01	2.819942e-05
3.500000000000000e+01	3.486356e+01	3.500000e+01	2.902882e-05
3.600000000000000e+01	3.585966e+01	3.600000e+01	2.985821e-05
3.700000000000000e+01	3.685577e+01	3.700000e+01	3.068760e-05
3.800000000000000e+01	3.785187e+01	3.800000e+01	3.151700e-05
3.900000000000000e+01	3.884797e+01	3.900000e+01	3.234639e-05
4.000000000000000e+01	3.984407e+01	4.000000e+01	3.317579e-05
4.100000000000000e+01	4.084018e+01	4.100000e+01	3.400518e-05
4.200000000000000e+01	4.183628e+01	4.200000e+01	3.483458e-05
4.300000000000000e+01	4.283238e+01	4.300000e+01	3.566397e-05
4.400000000000000e+01	4.382848e+01	4.400000e+01	3.649337e-05
4.500000000000000e+01	4.482458e+01	4.500000e+01	3.732276e-05
4.600000000000000e+01	4.582069e+01	4.600000e+01	3.815216e-05
4.700000000000000e+01	4.681679e+01	4.700000e+01	3.898155e-05
4.800000000000000e+01	4.781289e+01	4.800000e+01	3.981094e-05
4.900000000000000e+01	4.880899e+01	4.900000e+01	4.064034e-05
5.000000000000000e+01	4.980509e+01	5.000000e+01	4.146974e-05
5.100000000000000e+01	5.080119e+01	5.100000e+01	4.229913e-05
5.200000000000000e+01	5.179729e+01	5.200000e+01	4.312853e-05
5.300000000000000e+01	5.279340e+01	5.300000e+01	4.395792e-05
5.400000000000000e+01	5.378950e+01	5.400000e+01	4.478731e-05
5.500000000000000e+01	5.478560e+01	5.500000e+01	4.561671e-05
5.600000000000000e+01	5.578170e+01	5.600000e+01	4.644610e-05
5.700000000000000e+01	5.677781e+01	5.700000e+01	4.727550e-05
5.800000000000000e+01	5.777391e+01	5.800000e+01	4.810489e-05
5.900000000000000e+01	5.877001e+01	5.900000e+01	4.893429e-05
6.000000000000000e+01	5.976611e+01	6.000000e+01	4.976368e-05
6.100000000000000e+01	6.076221e+01	6.100000e+01	5.059308e-05
