time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
Step Information: A=10µ  (Step: 1/3)
0.000000000000000e+00	3.155487e-22	1.845498e-22	-3.690997e-24	-3.722345e-26
5.919902132459853e-07	6.967375e-06	9.245199e-06	2.204559e-08	2.096612e-10
1.669873486664669e-06	5.641362e-05	7.135713e-05	7.885106e-08	6.768189e-10
2.232324941459009e-06	1.011960e-04	1.269254e-04	1.125699e-07	9.213210e-10
2.779783839142598e-06	1.586116e-04	1.978785e-04	1.480739e-07	1.159442e-09
3.439403274980920e-06	2.462635e-04	3.058994e-04	1.943705e-07	1.446517e-09
4.256366641057252e-06	3.818263e-04	4.726168e-04	2.570367e-07	1.802325e-09
5.286550010429969e-06	5.949374e-04	7.342613e-04	3.444544e-07	2.251387e-09
6.564561815326268e-06	9.245872e-04	1.138419e-03	4.659052e-07	2.809089e-09
8.165510509658665e-06	1.439493e-03	1.768964e-03	6.383382e-07	3.508664e-09
1.015550080921927e-05	2.237421e-03	2.745114e-03	8.840901e-07	4.379711e-09
1.264518662564611e-05	3.481820e-03	4.266118e-03	1.240494e-06	5.471766e-09
1.574626559926273e-05	5.413651e-03	6.625465e-03	1.760329e-06	6.835519e-09
1.962456536475885e-05	8.424497e-03	1.029981e-02	2.528617e-06	8.546485e-09
2.446336688156800e-05	1.310527e-02	1.600777e-02	3.670648e-06	1.068935e-08
3.051726671126409e-05	2.040136e-02	2.489789e-02	5.384946e-06	1.338212e-08
3.808404445627907e-05	3.176113e-02	3.872751e-02	7.971115e-06	1.676263e-08
4.756268884721782e-05	4.948378e-02	6.028218e-02	1.190011e-05	2.100864e-08
5.943783798488506e-05	7.713069e-02	9.386814e-02	1.789217e-05	2.631110e-08
7.434846072078245e-05	1.203430e-01	1.462908e-01	2.707414e-05	3.286574e-08
9.309360635626529e-05	1.872585e-01	2.273423e-01	4.118766e-05	4.087210e-08
1.130936063562653e-04	2.735664e-01	3.317083e-01	5.935237e-05	4.913888e-08
1.330936063562653e-04	3.756013e-01	4.548787e-01	8.067806e-05	5.718767e-08
1.530936063562653e-04	4.933783e-01	5.968059e-01	1.051126e-04	6.508426e-08
1.730936063562653e-04	6.266576e-01	7.571384e-01	1.325997e-04	7.285755e-08
1.930936063562653e-04	7.752009e-01	9.355285e-01	1.630815e-04	8.051416e-08
2.130936063562653e-04	9.387713e-01	1.131633e+00	1.965010e-04	8.805485e-08
2.330936063562653e-04	1.117133e+00	1.345110e+00	2.328015e-04	9.547966e-08
2.530936063562652e-04	1.310053e+00	1.575625e+00	2.719270e-04	1.027887e-07
2.730936063562652e-04	1.517297e+00	1.822845e+00	3.138221e-04	1.099823e-07
2.930936063562652e-04	1.738635e+00	2.086441e+00	3.584322e-04	1.170607e-07
3.130936063562652e-04	1.973836e+00	2.366088e+00	4.057031e-04	1.240244e-07
3.330936063562652e-04	2.222672e+00	2.661464e+00	4.555813e-04	1.308739e-07
3.530936063562652e-04	2.484916e+00	2.972251e+00	5.080141e-04	1.376098e-07
3.730936063562652e-04	2.760343e+00	3.298136e+00	5.629490e-04	1.442328e-07
3.930936063562652e-04	3.048728e+00	3.638807e+00	6.203347e-04	1.507436e-07
4.130936063562652e-04	3.349851e+00	3.993958e+00	6.801199e-04	1.571428e-07
4.330936063562652e-04	3.663490e+00	4.363286e+00	7.422543e-04	1.634313e-07
4.530936063562652e-04	3.989425e+00	4.746491e+00	8.066882e-04	1.696098e-07
4.730936063562652e-04	4.327440e+00	5.143277e+00	8.733721e-04	1.756791e-07
4.930936063562652e-04	4.677320e+00	5.553351e+00	9.422576e-04	1.816400e-07
5.130936063562652e-04	5.038848e+00	5.976425e+00	1.013297e-03	1.874934e-07
5.330936063562652e-04	5.411815e+00	6.412213e+00	1.086442e-03	1.932400e-07
5.530936063562653e-04	5.796008e+00	6.860434e+00	1.161646e-03	1.988808e-07
5.730936063562653e-04	6.191219e+00	7.320808e+00	1.238864e-03	2.044165e-07
5.930936063562654e-04	6.597241e+00	7.793061e+00	1.318048e-03	2.098482e-07
6.330936063562655e-04	7.440894e+00	8.772122e+00	1.482140e-03	2.204026e-07
6.730936063562656e-04	8.325346e+00	9.795485e+00	1.653566e-03	2.305510e-07
7.130936063562657e-04	9.249002e+00	1.086107e+01	1.831983e-03	2.403007e-07
7.530936063562658e-04	1.021029e+01	1.196686e+01	2.017053e-03	2.496587e-07
7.930936063562659e-04	1.120768e+01	1.311088e+01	2.208450e-03	2.586324e-07
8.530936063562661e-04	1.276814e+01	1.489440e+01	2.506712e-03	2.726986e-07
8.730936063562661e-04	1.330296e+01	1.550417e+01	2.609472e-03	2.821533e-07
8.805936063562661e-04	1.350614e+01	1.573556e+01	2.649480e-03	2.960215e-07
9.070553230399083e-04	1.423276e+01	1.656199e+01	2.793587e-03	3.635120e-07
9.670553230399085e-04	1.592601e+01	1.848246e+01	3.130537e-03	5.352988e-07
1.027055323039909e-03	1.768260e+01	2.046672e+01	3.479141e-03	7.172708e-07
1.107055323039909e-03	2.011596e+01	2.320265e+01	3.959961e-03	9.698116e-07
1.187055323039909e-03	2.264412e+01	2.603031e+01	4.456970e-03	1.231562e-06
1.267055323039909e-03	2.525712e+01	2.893784e+01	4.968058e-03	1.501113e-06
1.367055323039910e-03	2.862819e+01	3.266766e+01	5.623730e-03	1.847360e-06
1.467055323039910e-03	3.209852e+01	3.648387e+01	6.294785e-03	2.204021e-06
1.469555323039910e-03	3.218627e+01	3.658010e+01	6.312055e-03	2.221794e-06
1.474555323039910e-03	3.236150e+01	3.677227e+01	6.350718e-03	2.311713e-06
1.477609352051014e-03	3.246743e+01	3.688868e+01	6.384038e-03	2.473620e-06
1.480535334700404e-03	3.256638e+01	3.699794e+01	6.436564e-03	2.866814e-06
1.483666028384793e-03	3.266729e+01	3.711044e+01	6.535156e-03	3.743826e-06
